INTERGROUP,Anomes,Modal,Empresa,TotVlrFreBru,NFserv.Valor,Servicos.Valor,Armazenagem.Valor,ND.Frete_Bruto,NDC.Valor,ValorFinanceiro
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 435.672,55",0,0,0,"435672,55"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 505.959,39",0,0,0,"505959,39"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 5.969,80",0,0,0,"5969,8"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 73.289,12",0,0,0,"73289,12"
N,2026-jan,ARMAZENAGEM,FARMA DISTRIBUIDORA,0,0,0,"R$ 12.309,00",0,0,12309
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 302.739,11",0,0,0,"302739,11"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 206.493,13",0,0,0,"206493,13"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 2.696,88",0,0,0,"2696,88"
N,2025-jan,RODOVIARIO,INTEC,"70038,17",0,0,0,0,0,"70038,17"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 182.729,16",0,0,0,"182729,16"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 2.601,81",0,0,0,"2601,81"
N,2025-fev,RODOVIARIO,INTEC,"613954,11",0,0,0,0,0,"613954,11"
N,2025-jan,AEREO,FARMA,"1556,01",0,0,0,0,0,"1556,01"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 830.650,11",0,0,0,"830650,11"
N,2025-fev,AEREO,FARMA,"47420,8",0,0,0,0,0,"47420,8"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 224.009,35",0,0,0,"224009,35"
N,2025-jan,ARMAZENAGEM,FARMA,0,0,"R$191.461,60",0,0,0,"191461,6"
N,2026-jan,ARMAZENAGEM,FARMA DISTRIBUIDORA,0,0,0,"R$ 17.181,60",0,0,"17181,6"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 48.415,76",0,0,0,"48415,76"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 33.750,95",0,0,0,"33750,95"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 508.242,25",0,0,0,"508242,25"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 48.084,57",0,0,0,"48084,57"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 8.410,24",0,0,0,"8410,24"
N,2025-fev,RODOVIARIO,FARMA,0,"R$ 1.189,89",0,0,0,0,"1189,89"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 54.055,06",0,0,0,"54055,06"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 236.469,91",0,0,0,"236469,91"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 7.863,36",0,0,0,"7863,36"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 40.582,19",0,0,0,"40582,19"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 1.770,78",0,0,0,"1770,78"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 233.539,27",0,0,0,"233539,27"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 433.863,07",0,0,0,"433863,07"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 93.097,47",0,0,0,"93097,47"
N,2026-jan,ARMAZENAGEM,FARMA,0,0,"R$ 206.955,61",0,0,0,"206955,61"
N,2026-jan,AEREO,FARMA,"14642,35",0,0,0,0,0,"14642,35"
N,2026-jan,AEREO,FARMA,"49857,26",0,0,0,0,0,"49857,26"
N,2026-jan,AEREO,FARMA,"25586,8",0,0,0,0,0,"25586,8"
N,2026-jan,AEREO,FARMA,"274743,29",0,0,0,0,0,"274743,29"
N,2026-jan,AEREO,INTEC,"350,62",0,0,0,0,0,"350,62"
N,2026-jan,AEREO,INTEC,"23978,27",0,0,0,0,0,"23978,27"
N,2026-jan,AEREO,FARMA,"170,45",0,0,0,0,0,"170,45"
N,2026-jan,AEREO,FARMA,"10404,45",0,0,0,0,0,"10404,45"
S,2026-jan,AEREO,INTEC,"580389,21",0,0,0,0,0,"580389,21"
S,2026-jan,AEREO,INTEC,"202083,65",0,0,0,0,0,"202083,65"
S,2026-jan,AEREO,INTEC,"65490,04",0,0,0,0,0,"65490,04"
N,2026-jan,AEREO,FARMA,"26475,57",0,0,0,0,0,"26475,57"
N,2026-jan,AEREO,FARMA,"38404,5",0,0,0,0,0,"38404,5"
N,2026-jan,AEREO,FARMA,"135311,69",0,0,0,0,0,"135311,69"
N,2026-jan,AEREO,INTEC,"52548,97",0,0,0,0,0,"52548,97"
N,2026-jan,AEREO,FARMA,"160895,12",0,0,0,0,0,"160895,12"
N,2025-jan,RODOVIARIO,FARMA,"498433,74",0,0,0,0,0,"498433,74"
N,2026-jan,AEREO,INTEC,"16786,99",0,0,0,0,0,"16786,99"
N,2026-jan,AEREO,INTEC,"67394,5",0,0,0,0,0,"67394,5"
S,2025-jan,RODOVIARIO,INTEC,"227,28",0,0,0,0,0,"227,28"
N,2026-jan,AEREO,FARMA,"22126,66",0,0,0,0,0,"22126,66"
N,2026-jan,AEREO,FARMA,"118532,43",0,0,0,0,0,"118532,43"
N,2025-jan,ARMAZENAGEM,FARMA,0,0,"R$553.876,60",0,0,0,"553876,6"
N,2026-jan,AEREO,FARMA,"20911,16",0,0,0,0,0,"20911,16"
N,2026-jan,AEREO,INTEC,"16064,71",0,0,0,0,0,"16064,71"
N,2026-jan,AEREO,INTEC,"5129,8",0,0,0,0,0,"5129,8"
N,2026-jan,AEREO,FARMA,"162339,66",0,0,0,0,0,"162339,66"
N,2025-jan,ARMAZENAGEM,FARMA,0,0,"R$163.277,50",0,0,0,"163277,5"
N,2026-jan,AEREO,FARMA,"51201,13",0,0,0,0,0,"51201,13"
N,2026-jan,AEREO,INTEC,"11775,87",0,0,0,0,0,"11775,87"
N,2026-jan,AEREO,INTEC,"37112,64",0,0,0,0,0,"37112,64"
N,2026-jan,AEREO,FARMA,"30949,03",0,0,0,0,0,"30949,03"
N,2026-jan,AEREO,INTEC,"2666,79",0,0,0,0,0,"2666,79"
N,2026-jan,AEREO,INTEC,"171666,71",0,0,0,0,0,"171666,71"
N,2025-fev,AEREO,INTEC,"90192,18",0,0,0,0,0,"90192,18"
N,2026-jan,AEREO,INTEC,12,0,0,0,0,0,12
N,2026-jan,AEREO,FARMA,12,0,0,0,0,0,12
N,2026-jan,AEREO,INTEC,"18899,71",0,0,0,0,0,"18899,71"
N,2026-jan,RODOVIARIO,INTEC,"4892,57",0,0,0,0,0,"4892,57"
N,2026-jan,RODOVIARIO,FARMA,"530,7",0,0,0,0,0,"530,7"
N,2026-jan,RODOVIARIO,INTEC,"18052,22",0,0,0,0,0,"18052,22"
N,2026-jan,RODOVIARIO,FARMA,"12321,37",0,0,0,0,0,"12321,37"
N,2026-jan,RODOVIARIO,FARMA,"36909,33",0,0,0,0,0,"36909,33"
N,2026-jan,RODOVIARIO,INTEC,"7519,97",0,0,0,0,0,"7519,97"
N,2026-jan,RODOVIARIO,INTEC,"49179,87",0,0,0,0,0,"49179,87"
N,2026-jan,RODOVIARIO,FARMA,"206331,09",0,0,0,0,0,"206331,09"
N,2025-fev,RODOVIARIO,FARMA,"14033,28",0,0,0,0,0,"14033,28"
N,2026-jan,RODOVIARIO,FARMA,"412620,88",0,0,0,0,0,"412620,88"
N,2025-jan,RODOVIARIO,INTEC,"633199,14",0,0,0,0,0,"633199,14"
N,2026-jan,RODOVIARIO,FARMA,"24988,46",0,0,0,0,0,"24988,46"
N,2026-jan,RODOVIARIO,INTEC,"2284,85",0,0,0,0,0,"2284,85"
N,2026-jan,RODOVIARIO,FARMA,"208640,9",0,0,0,0,0,"208640,9"
N,2026-jan,RODOVIARIO,INTEC,"4195,97",0,0,0,0,0,"4195,97"
N,2026-jan,RODOVIARIO,FARMA,"19754,83",0,0,0,0,0,"19754,83"
N,2026-jan,RODOVIARIO,INTEC,"670,3",0,0,0,0,0,"670,3"
N,2026-jan,RODOVIARIO,INTEC,"302,34",0,0,0,0,0,"302,34"
N,2026-jan,RODOVIARIO,INTEC,"23042,51",0,0,0,0,0,"23042,51"
N,2025-fev,RODOVIARIO,INTEC,"1382856,2",0,0,0,0,0,"1382856,25"
N,2026-jan,RODOVIARIO,INTEC,"86676,75",0,0,0,0,0,"86676,75"
N,2026-jan,RODOVIARIO,FARMA,"46894,33",0,0,0,0,0,"46894,33"
N,2025-fev,AEREO,FARMA,"48655,36",0,0,0,0,0,"48655,36"
N,2026-jan,RODOVIARIO,INTEC,"570,45",0,0,0,0,0,"570,45"
N,2026-jan,RODOVIARIO,INTEC,"57416,81",0,0,0,0,0,"57416,81"
N,2026-jan,RODOVIARIO,INTEC,"9573,05",0,0,0,0,0,"9573,05"
N,2026-jan,RODOVIARIO,INTEC,"116,7",0,0,0,0,0,"116,7"
N,2026-jan,RODOVIARIO,INTEC,"75234,99",0,0,0,0,0,"75234,99"
N,2026-jan,RODOVIARIO,INTEC,"162142,69",0,0,0,0,0,"162142,69"
N,2026-jan,RODOVIARIO,INTEC,"331,97",0,0,0,0,0,"331,97"
N,2026-jan,RODOVIARIO,FARMA,"51688,31",0,0,0,0,0,"51688,31"
N,2026-jan,RODOVIARIO,INTEC,"148,3",0,0,0,0,0,"148,3"
N,2026-jan,RODOVIARIO,INTEC,"874,22",0,0,0,0,0,"874,22"
N,2026-jan,RODOVIARIO,INTEC,"155075,85",0,0,0,0,0,"155075,85"
N,2026-jan,RODOVIARIO,INTEC,"6070,47",0,0,0,0,0,"6070,47"
N,2026-jan,RODOVIARIO,INTEC,"39283,35",0,0,0,0,0,"39283,35"
N,2026-jan,RODOVIARIO,FARMA,"817,36",0,0,0,0,0,"817,36"
N,2026-jan,RODOVIARIO,INTEC,"20541,3",0,0,0,0,0,"20541,3"
N,2026-jan,RODOVIARIO,INTEC,0,"R$ 1.532,96",0,0,0,0,"1532,96"
S,2026-jan,RODOVIARIO,INTEC,"2027974,4",0,0,0,0,0,"2027974,38"
S,2026-jan,RODOVIARIO,INTEC,"941604,83",0,0,0,0,0,"941604,83"
S,2026-jan,RODOVIARIO,INTEC,"9355,98",0,0,0,0,0,"9355,98"
S,2026-jan,RODOVIARIO,INTEC,"233647,52",0,0,0,0,0,"233647,52"
S,2026-jan,RODOVIARIO,INTEC,0,0,0,0,"1350,5",0,"1350,5"
N,2026-jan,RODOVIARIO,INTEC,"443594,34",0,0,0,0,0,"443594,34"
N,2026-jan,RODOVIARIO,INTEC,"8330,35",0,0,0,0,0,"8330,35"
N,2026-jan,RODOVIARIO,FARMA,"52717,06",0,0,0,0,0,"52717,06"
N,2026-jan,RODOVIARIO,INTEC,"95604,53",0,0,0,0,0,"95604,53"
N,2026-jan,RODOVIARIO,FARMA,"8689,33",0,0,0,0,0,"8689,33"
N,2026-jan,RODOVIARIO,FARMA,"391367,25",0,0,0,0,0,"391367,25"
N,2026-jan,RODOVIARIO,FARMA,"123125,17",0,0,0,0,0,"123125,17"
N,2026-jan,RODOVIARIO,FARMA,"66707,59",0,0,0,0,0,"66707,59"
N,2026-jan,RODOVIARIO,FARMA,"1972,78",0,0,0,0,0,"1972,78"
N,2026-jan,RODOVIARIO,INTEC,"322058,16",0,0,0,0,0,"322058,16"
N,2026-jan,RODOVIARIO,FARMA,"667064,56",0,0,0,0,0,"667064,56"
N,2026-jan,RODOVIARIO,FARMA,"76851,95",0,0,0,0,0,"76851,95"
N,2025-fev,RODOVIARIO,INTEC,"82241,06",0,0,0,0,0,"82241,06"
N,2026-jan,RODOVIARIO,INTEC,"31212,38",0,0,0,0,0,"31212,38"
N,2026-jan,RODOVIARIO,INTEC,"238,59",0,0,0,0,0,"238,59"
N,2026-jan,RODOVIARIO,INTEC,"136,21",0,0,0,0,0,"136,21"
N,2026-jan,RODOVIARIO,FARMA,"14118,35",0,0,0,0,0,"14118,35"
N,2025-fev,RODOVIARIO,INTEC,"2852,74",0,0,0,0,0,"2852,74"
N,2026-jan,RODOVIARIO,INTEC,"30563,9",0,0,0,0,0,"30563,9"
N,2026-jan,RODOVIARIO,INTEC,"505838,8",0,0,0,0,0,"505838,8"
N,2026-jan,RODOVIARIO,INTEC,"16004,35",0,0,0,0,0,"16004,35"
N,2026-jan,RODOVIARIO,INTEC,"2543,04",0,0,0,0,0,"2543,04"
N,2026-jan,RODOVIARIO,INTEC,"18355,94",0,0,0,0,0,"18355,94"
N,2026-jan,RODOVIARIO,FARMA,"9236,68",0,0,0,0,0,"9236,68"
N,2026-jan,RODOVIARIO,INTEC,"473,4",0,0,0,0,0,"473,4"
N,2026-jan,RODOVIARIO,FARMA,"46588,71",0,0,0,0,0,"46588,71"
N,2026-jan,RODOVIARIO,FARMA,"5683,01",0,0,0,0,0,"5683,01"
N,2026-jan,RODOVIARIO,FARMA,"120523,24",0,0,0,0,0,"120523,24"
N,2025-jan,RODOVIARIO,FARMA,0,"R$ 1.617,54",0,0,0,0,"1617,54"
N,2026-jan,RODOVIARIO,INTEC,"95647,33",0,0,0,0,0,"95647,33"
N,2026-jan,RODOVIARIO,INTEC,"140244,69",0,0,0,0,0,"140244,69"
N,2026-jan,RODOVIARIO,FARMA,"1266,62",0,0,0,0,0,"1266,62"
N,2026-jan,RODOVIARIO,FARMA,"5807,56",0,0,0,0,0,"5807,56"
N,2026-jan,RODOVIARIO,INTEC,"494,15",0,0,0,0,0,"494,15"
N,2026-jan,RODOVIARIO,INTEC,"11556,85",0,0,0,0,0,"11556,85"
N,2026-jan,RODOVIARIO,INTEC,"1618,42",0,0,0,0,0,"1618,42"
N,2026-jan,RODOVIARIO,INTEC,"430293,88",0,0,0,0,0,"430293,88"
N,2025-jan,ARMAZENAGEM,FARMA,0,0,"R$ 858.078,16",0,0,0,"858078,16"
N,2026-jan,RODOVIARIO,FARMA,"277202,1",0,0,0,0,0,"277202,1"
N,2026-jan,RODOVIARIO,FARMA,"291039,39",0,0,0,0,0,"291039,39"
N,2026-jan,RODOVIARIO,INTEC,157865,0,0,0,0,0,157865
N,2026-jan,RODOVIARIO,INTEC,"8934,49",0,0,0,0,0,"8934,49"
N,2026-jan,RODOVIARIO,FARMA,"256125,78",0,0,0,0,0,"256125,78"
N,2026-jan,RODOVIARIO,FARMA,"62707,4",0,0,0,0,0,"62707,4"
N,2026-jan,RODOVIARIO,FARMA,"61147,51",0,0,0,0,0,"61147,51"
N,2026-jan,RODOVIARIO,INTEC,"58597,03",0,0,0,0,0,"58597,03"
N,2026-jan,RODOVIARIO,INTEC,"870,98",0,0,0,0,0,"870,98"
N,2026-jan,RODOVIARIO,FARMA,"86736,17",0,0,0,0,0,"86736,17"
N,2026-jan,RODOVIARIO,INTEC,"111935,47",0,0,0,0,0,"111935,47"
N,2026-jan,RODOVIARIO,INTEC,"79855,5",0,0,0,0,0,"79855,5"
N,2026-jan,RODOVIARIO,FARMA,"1685,23",0,0,0,0,0,"1685,23"
N,2026-jan,RODOVIARIO,INTEC,"68437,55",0,0,0,0,0,"68437,55"
N,2026-jan,RODOVIARIO,INTEC,0,"R$ 3.199,07",0,0,0,0,"3199,07"
N,2026-jan,RODOVIARIO,FARMA,"1909,14",0,0,0,0,0,"1909,14"
N,2026-jan,RODOVIARIO,INTEC,"294673,44",0,0,0,0,0,"294673,44"
N,2026-jan,RODOVIARIO,FARMA,"7173,17",0,0,0,0,0,"7173,17"
N,2026-jan,RODOVIARIO,FARMA,"2004,07",0,0,0,0,0,"2004,07"
N,2026-jan,RODOVIARIO,FARMA,"186212,96",0,0,0,0,0,"186212,96"
N,2026-jan,RODOVIARIO,FARMA,"70629,92",0,0,0,0,0,"70629,92"
N,2026-jan,RODOVIARIO,FARMA,"156744,66",0,0,0,0,0,"156744,66"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 402.435,83",0,0,0,"402435,83"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 18.260,00",0,0,0,18260
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 257.852,59",0,0,0,"257852,59"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 24.681,87",0,0,0,"24681,87"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 1.012.470,13",0,0,0,"1012470,13"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 697.021,90",0,0,0,"697021,9"
N,2025-jan,ARMAZENAGEM,FARMA,0,0,"R$93.458,26",0,0,0,"93458,26"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 383.837,12",0,0,0,"383837,12"
N,2025-jan,ARMAZENAGEM,FARMA,0,0,"R$126.727,30",0,0,0,"126727,3"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 456.608,70",0,0,0,"456608,7"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 297.726,88",0,0,0,"297726,88"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 77.973,81",0,0,0,"77973,81"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 254.837,90",0,0,0,"254837,9"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 61.786,08",0,0,0,"61786,08"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 56.745,72",0,0,0,"56745,72"
N,2025-fev,RODOVIARIO,INTEC,0,"R$247,80",0,0,0,0,"247,8"
N,2025-dez,ARMAZENAGEM,FARMA DISTRIBUIDORA,0,0,0,"R$ 1.898,10",0,0,"1898,1"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 1.381.176,71",0,0,0,"1381176,71"
N,2025-jan,RODOVIARIO,FARMA,"680145,8",0,0,0,0,0,"680145,8"
N,2025-fev,RODOVIARIO,FARMA,"185636,23",0,0,0,0,0,"185636,23"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 2.601,81",0,0,0,"2601,81"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 242.010,26",0,0,0,"242010,26"
N,2025-jan,RODOVIARIO,INTEC,"179,8",0,0,0,0,0,"179,8"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 781.543,03",0,0,0,"781543,03"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 41.481,02",0,0,0,"41481,02"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 47.920,80",0,0,0,"47920,8"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 31.699,01",0,0,0,"31699,01"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 20.055,50",0,0,0,"20055,5"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 40.549,83",0,0,0,"40549,83"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 53.556,01",0,0,0,"53556,01"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 501.454,75",0,0,0,"501454,75"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 139.878,39",0,0,0,"139878,39"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 178.410,33",0,0,0,"178410,33"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 340.277,18",0,0,0,"340277,18"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 365.641,56",0,0,0,"365641,56"
N,2025-jan,ARMAZENAGEM,FARMA,0,0,"R$404.396,20",0,0,0,"404396,2"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 596.674,47",0,0,0,"596674,47"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 7.033,71",0,0,0,"7033,71"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 7.780,56",0,0,0,"7780,56"
N,2025-fev,AEREO,FARMA,"24486,93",0,0,0,0,0,"24486,93"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 203.567,72",0,0,0,"203567,72"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 41.259,39",0,0,0,"41259,39"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 2.065,01",0,0,0,"2065,01"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 236,42",0,0,0,"236,42"
N,2025-jan,AEREO,INTEC,"156245,23",0,0,0,0,0,"156245,23"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 175.956,65",0,0,0,"175956,65"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 486.598,91",0,0,0,"486598,91"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 118.154,86",0,0,0,"118154,86"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 204.616,18",0,0,0,"204616,18"
N,2025-jan,RODOVIARIO,FARMA,"151847,58",0,0,0,0,0,"151847,58"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 8.410,24",0,0,0,"8410,24"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 54.287,56",0,0,0,"54287,56"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 666.745,07",0,0,0,"666745,07"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 6.098,02",0,0,0,"6098,02"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 205.922,70",0,0,0,"205922,7"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 4.239,62",0,0,0,"4239,62"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 8.839,05",0,0,0,"8839,05"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 60.153,79",0,0,0,"60153,79"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 516.723,11",0,0,0,"516723,11"
N,2025-dez,ARMAZENAGEM,FARMA,0,0,"R$ 515.180,60",0,0,0,"515180,6"
N,2025-dez,AEREO,INTEC,"85153,97",0,0,0,0,0,"85153,97"
N,2025-dez,AEREO,INTEC,"82738,55",0,0,0,0,0,"82738,55"
N,2025-dez,AEREO,FARMA,"728,12",0,0,0,0,0,"728,12"
N,2025-jan,RODOVIARIO,INTEC,"111239,36",0,0,0,0,0,"111239,36"
N,2025-jan,RODOVIARIO,FARMA,"126053,09",0,0,0,0,0,"126053,09"
N,2025-dez,AEREO,FARMA,"83262,82",0,0,0,0,0,"83262,82"
N,2025-dez,AEREO,FARMA,"8819,48",0,0,0,0,0,"8819,48"
N,2025-dez,AEREO,FARMA,"361481,8",0,0,0,0,0,"361481,8"
N,2025-jan,RODOVIARIO,INTEC,"55,66",0,0,0,0,0,"55,66"
N,2025-dez,AEREO,FARMA,"2111,31",0,0,0,0,0,"2111,31"
N,2025-dez,AEREO,INTEC,"28967,59",0,0,0,0,0,"28967,59"
N,2025-dez,AEREO,INTEC,"6653,28",0,0,0,0,0,"6653,28"
N,2025-dez,AEREO,INTEC,"175,02",0,0,0,0,0,"175,02"
N,2025-dez,AEREO,FARMA,"577,37",0,0,0,0,0,"577,37"
N,2025-dez,AEREO,INTEC,"198168,65",0,0,0,0,0,"198168,65"
S,2025-dez,AEREO,INTEC,"88270,03",0,0,0,0,0,"88270,03"
S,2025-dez,AEREO,INTEC,"217281,81",0,0,0,0,0,"217281,81"
S,2025-dez,AEREO,INTEC,"645928,91",0,0,0,0,0,"645928,91"
N,2025-dez,AEREO,FARMA,"29848,45",0,0,0,0,0,"29848,45"
N,2025-dez,AEREO,INTEC,"127044,58",0,0,0,0,0,"127044,58"
N,2025-dez,AEREO,INTEC,"12259,49",0,0,0,0,0,"12259,49"
N,2025-dez,AEREO,FARMA,"223470,21",0,0,0,0,0,"223470,21"
N,2025-dez,AEREO,FARMA,"100284,94",0,0,0,0,0,"100284,94"
N,2025-jan,AEREO,FARMA,"123219,45",0,0,0,0,0,"123219,45"
N,2025-dez,AEREO,INTEC,"52494,69",0,0,0,0,0,"52494,69"
N,2025-dez,AEREO,FARMA,"152709,76",0,0,0,0,0,"152709,76"
N,2025-dez,AEREO,INTEC,"19775,18",0,0,0,0,0,"19775,18"
N,2025-dez,AEREO,FARMA,"78162,3",0,0,0,0,0,"78162,3"
N,2025-dez,AEREO,FARMA,"44382,71",0,0,0,0,0,"44382,71"
N,2025-dez,AEREO,FARMA,"27788,75",0,0,0,0,0,"27788,75"
N,2025-dez,AEREO,INTEC,"8711,4",0,0,0,0,0,"8711,4"
N,2025-dez,AEREO,FARMA,"53952,56",0,0,0,0,0,"53952,56"
N,2025-dez,AEREO,FARMA,"88548,21",0,0,0,0,0,"88548,21"
N,2025-jan,RODOVIARIO,INTEC,"1248,89",0,0,0,0,0,"1248,89"
N,2025-dez,AEREO,INTEC,"281,77",0,0,0,0,0,"281,77"
N,2025-dez,AEREO,FARMA,"58881,07",0,0,0,0,0,"58881,07"
N,2025-dez,RODOVIARIO,INTEC,"8235,58",0,0,0,0,0,"8235,58"
