CONTAS;;;;;;;;;(-) Pessoal
60301020101Oper;60301020103Oper;60301020129Oper;60301020130Oper;60301020131Oper;60301020132Oper;60301020134Oper;;;SALARIOS
60301020275oper;;;;;;;;;ASSESSORIA JURIDICA
60301020284oper;;;;;;;;;ASSESSORIA RH
60301020276oper;;;;;;;;;CERTIFICACAO/QUALIDADE
60301020281oper;;;;;;;;;PUBLICIDADE E PROPAGANDA
60301020283oper;;;;;;;;;AUDITORIA/CONSULTORIA
60301020282oper;;;;;;;;;ASSESSORIA CONTABIL
60301020280oper;;;;;;;;;ASSESSORIA ADMINISTRATIVA
60301020278oper;;;;;;;;;ASSESSORIA GUARDA DE DOCUMENTOS
60301020223oper;;;;;;;;;HONORARIOS PROF. PJ
60301020224oper;;;;;;;;;HONORARIOS PROF. PF
;;;;;;;;;(-) Informática
60301020277oper;;;;;;;;;ASSESSORIA E SERVICO INFORMATICA
60301020260oper;;;;;;;;;MANUT. EQUP. INFORMATICA
60301020231oper;;;;;;;;;MANUTEN. SISTEMAS  INFORMATICA
60301020234oper;;;;;;;;;MATERIAL PROCES. DADOS
60301020252oper;;;;;;;;;TELEFONES
60301020251oper;;;;;;;;;INTERNET/COMUNICACOES
60301040103oper;;;;;;;;;(-) Impostos e Taxas
60301040101oper;;;;;;;;;IMPOSTOS/ TAXAS ESTADUAIS
60301040102oper;;;;;;;;;IMPOSTOS/TAXAS FEDERAIS
60301040103oper;;;;;;;;;IMPOSTOS/TAXAS MUNICIPAIS
60301040106oper;;;;;;;;;MULTAS DIVERSAS
60301020257oper;;;;;;;;;TAXAS/CUSTAS/CARTORIO
;;;;;;;;;(-) Outros Custos / Receitas
60301020259oper;;;;;;;;;DESPESAS DIVERSAS
60301020207oper;60301020118oper;;;;;;;;ASSOS. SINDICATOS DE CLASSE
60301020211oper;;;;;;;;;CONDUCAO E TRANSPORTE
60301020254oper;;;;;;;;;VIAGENS
60301020220oper;;;;;;;;;ESTACIONAMENTOS
60301020268oper;;;;;;;;;BRINDES E DOACOES/INDEDUTIVEL
60301020205oper;;;;;;;;;ANUNCIOS E PUBLICACOES LEGAIS
60301020242oper;;;;;;;;;COPA E REFEICOES/ESTADIAS
60301020286oper;;;;;;;;;GAS GLP - REFEITORIO
60301020296oper;;;;;;;;;FEIRAS EVENTOS E CONFRATERNIZACOES
60301020235oper;;;;;;;;;MATERIAL DE EXPEDIENTE
60301020240oper;;;;;;;;;PORTES/SELOS E TELEGRAMAS CORREIOS
60301020267oper;60301020208oper;;;;;;;;BENS DE PEQUENO VALOR
60301020228oper;;;;;;;;;ASSINAT. JORNAIS E REVISTAS
60301020217oper;;;;;;;;;COPIAS E ENCADERNACOES
60301020225oper;;;;;;;;;IMPRESSOS GRAFICOS/LOGOTIPOS
;;;;;;;;;MANUTENCAO EQUIPAMENTOS ARMAZEM
60601010102oper;60601010102Boper;;;;;;;;OUTRAS RECEITAS
